公司碼,日期,序碼,說明,出事原因
2371 大同,2017/12/28,01001,"＊發生其他負面事件,股價暴跌",P 股價暴跌
2371 大同,2017/12/28,01A01,1.大同增資案惹議，市場派提告。,P 股價暴跌
2371 大同,2017/12/28,01A02,2.大同因現金增資消息曝光、股價重挫，蒸發45億市值，已經損及股東權益，市,P 股價暴跌
2371 大同,2017/12/28,01A03,場派股東106/12/28在台北地檢署告發。大同再重申，董事會決議是在額定股本,P 股價暴跌
2371 大同,2017/12/28,01A04,內對原股東的現金增資，從未涉入股市，對於股價是否遭人為操縱，公司無從得,P 股價暴跌
2371 大同,2017/12/28,01A05,知，至於日前針對大同股票價格波動過度劇烈等情事，已依規定自25日起降低融,P 股價暴跌
2371 大同,2017/12/28,01A06,資比率一成及提高融券保證金一成。,P 股價暴跌
2371 大同,2017/12/28,01A07,3.市場派欣同發聲明指出，大同董事會通過包括以每股面額10元辦理現金增資5,P 股價暴跌
2371 大同,2017/12/28,01A08,億股等4項決議，表面上完成增資後，將可改善財務結構，強化公司競爭力，但5,P 股價暴跌
2371 大同,2017/12/28,01A09,億股現增案，雖表示發行價格暫時未定，市場消息傳出大同預定將以14元辦理現,P 股價暴跌
2371 大同,2017/12/28,01A10,增，由於市價仍有19元，導致消息一出，隔日起大同股價連續重挫，最低點來到,P 股價暴跌
2371 大同,2017/12/28,01A11,17.2元。,P 股價暴跌
4746 台耀,2017/12/28,01001,"＊發生其他負面事件,其他",U 其他
4746 台耀,2017/12/28,01A01,1.決議終止大陸投資計劃。,U 其他
4746 台耀,2017/12/28,01A02,2.經評估整體投資環境風險後，終止投資四川內江匯鑫製藥。,U 其他
2474 可成,2017/12/27,01001,"＊發生重大財務事件,景氣不佳停工",T 景氣不佳停工
2474 可成,2017/12/27,01A01,1.說明昆山停產事件之報導「可成在昆山設有工廠，但並未在此次水質管控限排,T 景氣不佳停工
2474 可成,2017/12/27,01A02,範圍內，…」,T 景氣不佳停工
2474 可成,2017/12/27,01A03,2.本公司並沒有任何廠區設於昆山地區，媒體報導明顯有誤，特此澄清。,T 景氣不佳停工
2062 橋椿,2017/12/27,01001,"＊發生重大財務事件,景氣不佳停工",T 景氣不佳停工
2062 橋椿,2017/12/27,01A01,1.橋椿珠海廠，106/12/28起配合減排，降低產能一成。,T 景氣不佳停工
2062 橋椿,2017/12/27,01A02,2.針對珠海市人民政府發出暫時對重點工廠企業的限產限排令，要求12/26-12/2,T 景氣不佳停工
2062 橋椿,2017/12/27,01A03,9配合限產限排3成，被點名的台商企業中，水龍頭製造廠橋椿金屬(珠海)106/12,T 景氣不佳停工
2062 橋椿,2017/12/27,01A04,/27表示，會配合當地政府政策，實際配合執行日期為12/28-12/29，加上該廠目,T 景氣不佳停工
2062 橋椿,2017/12/27,01A05,前產能沒有滿載，所以影響有限。,T 景氣不佳停工
2062 橋椿,2017/12/27,01A06,3.橋椿珠海廠位於珠海金灣區，主要生產鋅合金水龍頭配件，員工人數約2千多,T 景氣不佳停工
2062 橋椿,2017/12/27,01A07,人，生產製程包括拋光、壓鑄及電鍍等製程，會產生粉塵或酸霧廢氣，經公司空,T 景氣不佳停工
2062 橋椿,2017/12/27,01A08,氣污染防制設備處理後，均符合廢氣排放標準。但為支持當地政府的上述限產限,T 景氣不佳停工
2062 橋椿,2017/12/27,01A09,排令，該廠的壓鑄熔爐將停工兩天，並減少部分機台生產作業。,T 景氣不佳停工
2062 橋椿,2017/12/27,01A10,4.珠海廠目前產能稼動率約八成，12/28-29再自動降低一成產能，即符合當地政,T 景氣不佳停工
2062 橋椿,2017/12/27,01A11,府減產減排三成規定。,T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01001,"＊發生重大財務事件,景氣不佳停工",T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01A01,1.回應外傳昆山市停工令事宜。,T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01A02,2.關於外傳昆山市因水質改善工程，無差別要求廠商停工，恐影響昆山廠之正常,T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01A03,運營，經與地方政府確認，業已暫緩實行，暫不影響正常生產。本公司位於昆山,T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01A04,市之全資子公司「江蘇龍燈化學有限公司」一直致力投資環保工程的優化，也獲,T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01A05,中國農藥工業協會(CCPIA)合規企業證書，評鑑AA等級，在昆山市的環保信用評,T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01A06,鑑與國際大廠先正達同級，完全符合標準。,T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01A07,3.倘若昆山市啟動無選擇性的全面停工，以目前將進入農曆年節之際，歐美等國,T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01A08,際主要區域訂單需求，多數已於本月底前完成出貨，短期停工對現有產能影響不,T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01A09,大。中長期性的因應對策將在龍燈天津廠區內加速產能的建置，並協調提高委外,T 景氣不佳停工
4141 龍燈-KY,2017/12/27,01A10,代工比重，以在需要時接替昆山廠的生產功能。,T 景氣不佳停工
6505 台塑化,2017/12/22,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
6505 台塑化,2017/12/22,01A01,1.雲林縣環保局裁處本公司違反「水污染防治法」第14條第1項規定，並依同法,9 環保與安全
6505 台塑化,2017/12/22,01A02,第45條第2項之規定裁處109萬。,9 環保與安全
6505 台塑化,2017/12/22,01A03,2.106/7/14雲林縣環保局入廠進行放流水採樣，分析結果超出懸浮固體(SS)許可,9 環保與安全
6505 台塑化,2017/12/22,01A04,管制值。,9 環保與安全
6505 台塑化,2017/12/22,01A05,3.本公司當日同步採樣結果為12.9 mg/L，遠低於管制值，顯示廢水本質並無問,9 環保與安全
6505 台塑化,2017/12/22,01A06,題，將提出訴願爭取權益。,9 環保與安全
1457 宜進,2017/12/21,01001,"＊發生其他負面事件,暫停交易",J 暫停交易
1457 宜進,2017/12/21,01A01,2017/12/21股票暫停交易,J 暫停交易
3027 盛達,2017/12/20,01001,"＊發生重大財務事件,價值減損",V 價值減損
3027 盛達,2017/12/20,01A01,1.提列其他應收款減損損失1.6億。,V 價值減損
3027 盛達,2017/12/20,01A02,2.本公司依據國際會計準則第三十九號公報之規定，對其重要公司之逾期其他應,V 價值減損
3027 盛達,2017/12/20,01A03,收款提列減損約1.6億。公司對重要客戶之債權均有保險或已賣斷給銀行。,V 價值減損
2371 大同,2017/12/14,01001,"＊發生其他負面事件,內控不當",Q 內控不當
2371 大同,2017/12/14,01A01,1.高院判林蔚山需賠22億，最高院發回重審。,Q 內控不當
2371 大同,2017/12/14,01A02,2.投保中心控訴大同董事長林蔚山造成公司損失、應予賠償，台灣高等法院原判,Q 內控不當
2371 大同,2017/12/14,01A03,決林蔚山共需賠償22億元，但最高法院廢棄高院的原判決，並發回重新審理。,Q 內控不當
2371 大同,2017/12/14,01A04,"3.最高法院判決理由有5項：(1)尚志資產給通達公司的貸款尚餘6,900萬未清償",Q 內控不當
2371 大同,2017/12/14,01A05,"，何以按持股比例48.566%計算大同公司因此所受損害為3,350萬？原審並未說明",Q 內控不當
2371 大同,2017/12/14,01A06,理由。(2)林蔚山行為有無造成大同於96年到99年各年度投資損失達17億餘元？,Q 內控不當
2371 大同,2017/12/14,01A07,高院未調查，徒以尚志投資以1元投資通達，大同借貸尚志投資，及尚志投資借,Q 內控不當
2371 大同,2017/12/14,01A08,貸通達公司的款項，就認定大同有損害，不無可議。(3)高院原認定尚志投資以1,Q 內控不當
2371 大同,2017/12/14,01A09,元投資，取得通達50.36%的股份，不是合併，故不承受該公司損失，也不是大同,Q 內控不當
2371 大同,2017/12/14,01A10,受損害的計算基礎；若果真如此，尚志投資1元投資通達的行為，是否致大同受,Q 內控不當
2371 大同,2017/12/14,01A11,損害，尚非無疑。(4)有關大同增資股款、溢價發行新股股款匯入尚志投資，原,Q 內控不當
2371 大同,2017/12/14,01A12,審逕認是借貸，違反公司法第15條第一項規定，違背對大同公司的忠實及注意義,Q 內控不當
2371 大同,2017/12/14,01A13,務，不無認作主張事實的違法。(5)99/3通達董事會決議停業，後續如何償還銀,Q 內控不當
2371 大同,2017/12/14,01A14,行款項，經與銀行溝通及律師建議，為避免影響集團債信，由原本就是連保人的,Q 內控不當
2371 大同,2017/12/14,01A15,尚志投資代償；原審未加審究，遽認尚志投資上開行為是林蔚山指示而為，為不,Q 內控不當
2371 大同,2017/12/14,01A16,利的判斷，並有可議。,Q 內控不當
1904 正隆,2017/12/12,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1904 正隆,2017/12/12,01A01,"1.正隆台中紙廠因空污及水污，累積罰4,800萬。",9 環保與安全
1904 正隆,2017/12/12,01A02,"2.台中市后里區正隆紙廠近2年不斷傳出紙漿異味，公司指出，報載被裁罰約4,8",9 環保與安全
1904 正隆,2017/12/12,01A03,00萬部份，係累積后里廠104年至今所有污染之罰金(包括空氣污染、水污染等),9 環保與安全
1904 正隆,2017/12/12,01A04,，並非全為單一事件之罰金，針對同一事件之罰金達100萬元以上部份，本公司,9 環保與安全
1904 正隆,2017/12/12,01A05,皆已依規對外發佈重大訊息說明。(罰金104年部分約佔83%，105年部分約佔14%),9 環保與安全
1904 正隆,2017/12/12,01A06,3.台中市環保局長白智榮表示，主要異味來源是10號紙機、廢水處理系統、汽電,9 環保與安全
1904 正隆,2017/12/12,01A07,鍋爐、廢汙泥槽、廢紙堆置區等，經追蹤有37項細部工程可改善。正隆紙廠已自,9 環保與安全
1904 正隆,2017/12/12,01A08,主提報改善計畫，投入近6億改善廢水系統、汽電鍋爐等主要異味來源的空污防,9 環保與安全
1904 正隆,2017/12/12,01A09,制設備，目前已完成9成，預計107/8完工。,9 環保與安全
1227 佳格,2017/12/11,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1227 佳格,2017/12/11,01A01,1.有關媒體報導法國廠商LNS Lactalis Group奶粉事件，本公司特附上品管的自,9 環保與安全
1227 佳格,2017/12/11,01A02,驗合格報告以及SGS檢驗機構報告，所有報告皆顯示：產品品質沒有問題，安全,9 環保與安全
1227 佳格,2017/12/11,01A03,無虞，可以安心食用。,9 環保與安全
1227 佳格,2017/12/11,01A04,2.自主性管理下架產品包括下列三項：桂格ProCare優質嬰兒配方奶粉新一代配,9 環保與安全
1227 佳格,2017/12/11,01A05,方、桂格ProBaby特選嬰兒配方奶粉新一代配方及桂格ProCare優質成長奶粉乳鐵,9 環保與安全
1227 佳格,2017/12/11,01A06,蛋白配方。,9 環保與安全
1227 佳格,2017/12/11,01A07,3.依報載，包括佳格、友華生技與端強實業之8項產品，約有6萬罐奶粉流入市面,9 環保與安全
1227 佳格,2017/12/11,01A08,。,9 環保與安全
2610 華航,2017/12/8,01001,"＊發生其他負面事件,其他違法事件",0 其他違法事件
2610 華航,2017/12/8,01A01,1.就『美國客運反托拉斯民事團體訴訟案』與原告達成和解協議，合解金：美金,0 其他違法事件
2610 華航,2017/12/8,01A02,"1,950萬。",0 其他違法事件
2610 華航,2017/12/8,01A03,2.美國司法部於95年對全球多家航空公司於89年至95年間所收取之貨運燃油附加,0 其他違法事件
2610 華航,2017/12/8,01A04,費展開反托拉斯法調查，有鑒於此部分美國旅客於96年12月對全球主要客運航空,0 其他違法事件
2610 華航,2017/12/8,01A05,業者收取客運運費及附加費一事，在美國舊金山區域法院提起民事賠償團體訴訟,0 其他違法事件
2610 華航,2017/12/8,01A06,案，本公司為亞太航協（Association of Asia Pacific Airlines）之成員而遭,0 其他違法事件
2610 華航,2017/12/8,01A07,列共同被告。前揭事實業於本公司105年財務報告中揭露。由於亞洲主要航空公,0 其他違法事件
2610 華航,2017/12/8,01A08,司近期相繼與原告和解，本公司參酌律師意見並權衡訴訟成本後，與原告協議以,0 其他違法事件
2610 華航,2017/12/8,01A09,"美金1,950萬和解，並將認列於106年財務報表。又，和解金將分為三年四期支付",0 其他違法事件
2610 華航,2017/12/8,01A10,，以降低對公司營運之影響。,0 其他違法事件
3008 大立光,2017/12/7,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
3008 大立光,2017/12/7,01A01,1.對先進光電等被告智財法院民事訴訟一審判決說明。,7 訴訟案件
3008 大立光,2017/12/7,01A02,2.本公司營業秘密疑似遭本公司離職員工與同業先進光電共謀不法竊取、使用、,7 訴訟案件
3008 大立光,2017/12/7,01A03,甚至將竊得之技術申請專利獲准乙案，本公司先前除分別於101、102年間提出刑,7 訴訟案件
3008 大立光,2017/12/7,01A04,事告訴及民事保全請求外，亦於智財法院提起本件民事訴訟(案號：102年度民營,7 訴訟案件
3008 大立光,2017/12/7,01A05,訴字第6號)。,7 訴訟案件
3008 大立光,2017/12/7,01A06,3.民事訴訟部分，智財法院嗣於106/12/6以第一審終局判決進一步認定：先進光,7 訴訟案件
3008 大立光,2017/12/7,01A07,等共同被告應連帶賠償本公司約15億。,7 訴訟案件
1472 三洋紡,2017/12/6,01001,"＊發生其他負面事件,內控不當",Q 內控不當
1472 三洋紡,2017/12/6,01A01,1.本公司106/12/4所公告之107年第一次股東臨時會，係由謝志騰監察人自行召,Q 內控不當
1472 三洋紡,2017/12/6,01A02,集，並非本公司董事會決議所召集，為免股東混淆，特予澄清。,Q 內控不當
1472 三洋紡,2017/12/6,01A03,2.有鑑於謝志騰監察人自行召集本次股東臨時會之召集程序有適法性的疑慮，本,Q 內控不當
1472 三洋紡,2017/12/6,01A04,公司將循法律途徑處理。,Q 內控不當
3682 亞太電,2017/12/6,01001,"＊發生其他負面事件,內控不當",Q 內控不當
3682 亞太電,2017/12/6,01A01,1.亞太電信廣告不實，公平會罰60萬,Q 內控不當
3682 亞太電,2017/12/6,01A02,2.公平會說明，亞太電信公司辦理壹大網資費促銷方案，在各大電視媒體及台灣,Q 內控不當
3682 亞太電,2017/12/6,01A03,大車隊的車內刊播影音廣告，以口白宣稱「打電話加上網全部吃到飽」等語，並,Q 內控不當
3682 亞太電,2017/12/6,01A04,同步播放「月付$999打電話+上網市話‧行動‧網內/外都適用全部吃到飽？！」,Q 內控不當
3682 亞太電,2017/12/6,01A05,等畫面，但這些影音廣告畫面下方，均以極小字體揭示限制條件，然而整體促銷,Q 內控不當
3682 亞太電,2017/12/6,01A06,資費影音廣告給人的印象是打電話不分市話、行動、網外、網內及上網均無任何,Q 內控不當
3682 亞太電,2017/12/6,01A07,限制而完全吃到飽，兩者並不符合。,Q 內控不當
3682 亞太電,2017/12/6,01A08,3.據亞太電信公司表示，促銷方案提供上網無限制的傳輸量，不過打電話部分為,Q 內控不當
3682 亞太電,2017/12/6,01A09,了避免商業濫用，就市話及行動(網內及網外)採300個不同電話號碼的限制，以,Q 內控不當
3682 亞太電,2017/12/6,01A10,"及網外與市話每月總量1,900分鐘數的限制。",Q 內控不當
3027 盛達,2017/12/5,01001,"＊發生其他負面事件,內控不當",Q 內控不當
3027 盛達,2017/12/5,01A01,1.106Q3財報未符合會計主管資格條件之規定，金管會裁罰24萬。,Q 內控不當
3027 盛達,2017/12/5,01A02,2.盛達電業公告申報106Q3財務報告，未依證券交易法第14條第3項，由符合發行,Q 內控不當
3027 盛達,2017/12/5,01A03,人證券商證券交易所會計主管資格條件及專業進修辦法第3條規定之會計主管簽,Q 內控不當
3027 盛達,2017/12/5,01A04,名或蓋章。依證交法第178條第1項第2款及第179條第1項規定，處罰鍰24萬。,Q 內控不當
1723 中碳,2017/12/5,01001,"＊發生其他負面事件,內控不當",Q 內控不當
1723 中碳,2017/12/5,01A01,1.關係人資金貸與未依規定申報，金管會裁罰24萬。,Q 內控不當
1723 中碳,2017/12/5,01A02,2.中碳之子公司於105/11/2董事會決議資金貸與中碳5億，新增資金貸與金額已,Q 內控不當
1723 中碳,2017/12/5,01A03,達公開發行公司資金貸與及背書保證處理準則第22條第1項第3款規定，應於事實,Q 內控不當
1723 中碳,2017/12/5,01A04,發生日之即日起2日內公告申報之標準，中碳遲至106/10/20始代子公司公告申報,Q 內控不當
1723 中碳,2017/12/5,01A05,，核有違反處理準則規定，依證交法處24萬罰鍰。,Q 內控不當
1907 永豐餘,2017/12/5,01001,"＊發生其他負面事件,內控不當",Q 內控不當
1907 永豐餘,2017/12/5,01A01,1.未依規定申報持股轉讓及異動情形，金管會裁罰84萬。,Q 內控不當
1907 永豐餘,2017/12/5,01A02,2.金管會查核發現永豐餘投資控股持有永豐金控股票，並推派代表人當選為永豐,Q 內控不當
1907 永豐餘,2017/12/5,01A03,金控公司之董事，另該公司利用其持股100%之子公司永豐餘全球公司名義持有永,Q 內控不當
1907 永豐餘,2017/12/5,01A04,豐金控股票，未確實依證交法第22條之2第1項第2款及第25條第2項規定，申報利,Q 內控不當
1907 永豐餘,2017/12/5,01A05,用他人名義持有股票之持股轉讓及異動情形。,Q 內控不當
1907 永豐餘,2017/12/5,01A06,3.金管會依證交法第178條第1項第1款、第2款及第179條第1項規定，分別處永豐,Q 內控不當
1907 永豐餘,2017/12/5,01A07,餘行為時負責人罰鍰42萬元，合計84萬。,Q 內控不當
2444 兆勁,2017/12/4,01001,"＊發生其他負面事件,內控不當",Q 內控不當
2444 兆勁,2017/12/4,01A01,1.友旺違反重訊，遭證交所罰10萬。,Q 內控不當
2444 兆勁,2017/12/4,01A02,2.監察人詠利揚企業代表人蔡世褔106/11/30召開股東臨時會，經查符合證交所,Q 內控不當
2444 兆勁,2017/12/4,01A03,「對有價證券上市公司重大訊息之查證暨公開處理程序」第4條第1項第18款情事,Q 內控不當
2444 兆勁,2017/12/4,01A04,，但該公司延遲將股東臨時會重要決議事項輸入公開資訊觀測站重大訊息畫面，,Q 內控不當
2444 兆勁,2017/12/4,01A05,已違反處理程序規定，故證交所處違約金10萬。,Q 內控不當
2444 兆勁,2017/11/30,01001,"＊發生其他負面事件,其他",U 其他
2444 兆勁,2017/11/30,01A01,1.友旺市場派召開股東臨時會，解任5董2監。,U 其他
2444 兆勁,2017/11/30,01A02,2.繼公司派的股東臨時會在106/11/29流會後，市場派106/11/30召開股東臨時會,U 其他
2444 兆勁,2017/11/30,01A03,，會中通過解任5董2監，前董事長、現股總經理歐陽自坤中箭落馬，臨股會主席,U 其他
2444 兆勁,2017/11/30,01A04,、監察人蔡世福指出，現任兩位董事繼續維持公司正常營運。報載指出，預估市,U 其他
2444 兆勁,2017/11/30,01A05,場派可能一舉拿下四席董事及三席獨董，全面掌握友旺董事會。,U 其他
2444 兆勁,2017/11/30,02001,"＊發生其他負面事件,其他",U 其他
2444 兆勁,2017/11/30,02A01,1.監察人詠利揚企業股份有限公司代表人蔡世褔召開106年第一次股東臨時會，,U 其他
2444 兆勁,2017/11/30,02A02,解任董事歐陽自坤、李燦勳、萬昭忠、劉興旺及獨立董事林宗燕、二席監察人眾,U 其他
2444 兆勁,2017/11/30,02A03,旺投資及其後所指派之代表人。,U 其他
2444 兆勁,2017/11/30,02A04,2.本次股東臨時會，公司委任律師無法入場列席，與會股東及相關報導指出有解,U 其他
2444 兆勁,2017/11/30,02A05,任案電子投票採包裹式，與現場各董監分別計票不相符、違法散會等疑義瑕疵，,U 其他
2444 兆勁,2017/11/30,02A06,尚待司法釐清。,U 其他
6505 台塑化,2017/11/29,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
6505 台塑化,2017/11/29,01A01,1.雲林縣環保局裁處本公司違反「廢棄物清理法」第36條並依同法第52條之規定,9 環保與安全
6505 台塑化,2017/11/29,01A02,裁處300萬。,9 環保與安全
6505 台塑化,2017/11/29,01A03,2.106/8/30雲林縣環保局執行本公司水化二場(水化石膏貯存場)稽查作業，認定,9 環保與安全
6505 台塑化,2017/11/29,01A04,水化二場貯存之水化石膏為露天堆置且未設置防止地面水、雨水及地下水流入、,9 環保與安全
6505 台塑化,2017/11/29,01A05,滲透之設備或措施，依法裁處300萬元，並要求90日內完成改善。,9 環保與安全
6505 台塑化,2017/11/29,01A06,3.本公司水化二場原已設有環場水溝、逕流水收集坑及底部鋪設不透水層等可有,9 環保與安全
6505 台塑化,2017/11/29,01A07,效防止地面水、雨水及地下水流入、滲透之設備及措施，且已進行覆蓋高密度聚,9 環保與安全
6505 台塑化,2017/11/29,01A08,乙烯不透水布作業。本公司將提出訴願以維護公司權益。,9 環保與安全
1301 台塑,2017/11/27,01001,"＊發生其他負面事件,其他",U 其他
1301 台塑,2017/11/27,01A01,1.冷卻水塔釀災，台塑中洋工業區廠房火警,U 其他
1301 台塑,2017/11/27,01A02,2.嘉義新港鄉台塑中洋工業區廠房，106/11/27晚間發生火警，初步研判是台化,U 其他
1301 台塑,2017/11/27,01A03,公用廠的冷卻水塔疑似風扇馬達短路釀災,U 其他
1301 台塑,2017/11/27,01A04,3.台化副董事長洪福源表示，中洋工業區內的台塑企業廠房有4套汽電共生機組,U 其他
1301 台塑,2017/11/27,01A05,，其中一套的6號冷卻水塔上的風扇馬達短路，火勢延伸到旁邊的2、3個冷卻水,U 其他
1301 台塑,2017/11/27,01A06,塔，幸好消防隊很快撲滅火勢，未釀成更大災害。中洋工業區內主要是台塑、南,U 其他
1301 台塑,2017/11/27,01A07,亞、台化生產部份下游石化產品原料；生產過程視蒸汽用量多寡，會使用不同組,U 其他
1301 台塑,2017/11/27,01A08,數的汽電共生機組，目前其餘3套機組均完好可支應製程，並不影響生產。,U 其他
1326 台化,2017/11/27,01001,"＊發生其他負面事件,其他",U 其他
1326 台化,2017/11/27,01A01,1.冷卻水塔釀災，台塑中洋工業區廠房火警,U 其他
1326 台化,2017/11/27,01A02,2.嘉義新港鄉台塑中洋工業區廠房，106/11/27晚間發生火警，初步研判是台化,U 其他
1326 台化,2017/11/27,01A03,公用廠的冷卻水塔疑似風扇馬達短路釀災,U 其他
1326 台化,2017/11/27,01A04,3.台化副董事長洪福源表示，中洋工業區內的台塑企業廠房有4套汽電共生機組,U 其他
1326 台化,2017/11/27,01A05,，其中一套的6號冷卻水塔上的風扇馬達短路，火勢延伸到旁邊的2、3個冷卻水,U 其他
1326 台化,2017/11/27,01A06,塔，幸好消防隊很快撲滅火勢，未釀成更大災害。中洋工業區內主要是台塑、南,U 其他
1326 台化,2017/11/27,01A07,亞、台化生產部份下游石化產品原料；生產過程視蒸汽用量多寡，會使用不同組,U 其他
1326 台化,2017/11/27,01A08,數的汽電共生機組，目前其餘3套機組均完好可支應製程，並不影響生產。,U 其他
2020 美亞,2017/11/22,01001,"＊發生其他負面事件,其他",U 其他
2020 美亞,2017/11/22,01A01,1.本公司因火災部分停工。,U 其他
2020 美亞,2017/11/22,01A02,2.本公司埔心廠106/11/22凌晨因高壓配電盤起火造成電力供應受損，致使埔心,U 其他
2020 美亞,2017/11/22,01A03,廠產線停工現正檢修中，預計停工三日，人員、廠房及設備均安全無虞。,U 其他
2020 美亞,2017/11/22,01A04,"3.僅11月碳鋼鋼管產能受到影響，預計減少當月產能約10%(1,200公噸)、減少當",U 其他
2020 美亞,2017/11/22,01A05,月產量約9.5%(978公噸)。占11月營收7.50%。,U 其他
2020 美亞,2017/11/22,01A06,4.已投保火險5.20億，足以彌補上述損失，本次事件對本公司財務調度無影響。,U 其他
2905 三商,2017/11/22,01001,"＊發生其他負面事件,內控不當",Q 內控不當
2905 三商,2017/11/22,01A01,1.三商行招募「美廉社」加盟，資訊揭露不足挨罰70萬,Q 內控不當
2905 三商,2017/11/22,01A02,2.公平會106/11/22召開委員會議，認定三商行在招募「美廉社」品牌加盟過程,Q 內控不當
2905 三商,2017/11/22,01A03,中，沒有在加盟簽約前，以書面向想加盟的民眾充分且完整揭露重要交易資訊，,Q 內控不當
2905 三商,2017/11/22,01A04,違反公平法第25條規定，處70萬罰鍰。,Q 內控不當
1762 中化生,2017/11/22,01001,"＊發生其他負面事件,其他違法事件",0 其他違法事件
1762 中化生,2017/11/22,01A01,1.中化合成之董事長遭臺北地檢署檢察官起訴違犯證券交易法乙案，經中化合成,0 其他違法事件
1762 中化生,2017/11/22,01A02,之董事長提起上訴後，臺灣高等法院於2017/11/22判決駁回，中化合成之董事長,0 其他違法事件
1762 中化生,2017/11/22,01A03,對於判決結果深表遺憾，將於接到判決書後，依法委請律師提起上訴，以洗雪自,0 其他違法事件
1762 中化生,2017/11/22,01A04,身清白。,0 其他違法事件
1762 中化生,2017/11/22,01A05,2.中化合成之業務及財務運作仍如常，此判決對營運未造成影響。,0 其他違法事件
2412 中華電,2017/11/20,01001,"＊發生其他負面事件,其他",U 其他
2412 中華電,2017/11/20,01A01,1.澄清媒體報導「台灣互動主張中華電信董事長承諾補償收視費，卻背信毀諾，,U 其他
2412 中華電,2017/11/20,01A02,將提起訴訟。」,U 其他
2412 中華電,2017/11/20,01A03,2.本案尚未進入訴訟程序，本公司不予回應。此外，本公司董事長鄭優並未承諾,U 其他
2412 中華電,2017/11/20,01A04,補償台灣互動損失。,U 其他
1326 台化,2017/11/16,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1326 台化,2017/11/16,01A01,11/16收受彰化縣政府裁處書，指稱本公司彰化廠「M22鍋爐汽電共生程序」使用,9 環保與安全
1326 台化,2017/11/16,01A02,之生煤成份與環說書內容不符，以違反環境影響評估法第17條為由，並加重罰鍰,9 環保與安全
1326 台化,2017/11/16,01A03,裁處12.44億。(說明詳原公告),9 環保與安全
1907 永豐餘,2017/11/15,01001,"＊發生其他負面事件,內控不當",Q 內控不當
1907 永豐餘,2017/11/15,01A01,投保中心依證券投資人及期貨交易人保護法第10條之1第1項,Q 內控不當
1907 永豐餘,2017/11/15,01A02,第2款規定，對本公司及本公司部分董事提起民事解任訴訟。,Q 內控不當
1477 聚陽,2017/11/14,01001,"＊發生其他負面事件,其他",U 其他
1477 聚陽,2017/11/14,01A01,"1.本公司柬埔寨子公司Makalot Garments (Cambodia) Co., Ltd.於106/11/14發",U 其他
1477 聚陽,2017/11/14,01A02,生火災事件。,U 其他
1477 聚陽,2017/11/14,01A03,2.火勢已完全撲滅，無人員傷亡。廠房、設備、存貨皆已投保。本次火災廠房旁,U 其他
1477 聚陽,2017/11/14,01A04,即有本公司自有之其他成衣工廠，有足夠之廠房空間及設備在最短時間之內復,U 其他
1477 聚陽,2017/11/14,01A05,工，配合人員加班規劃，對產能及出貨不會有重大影響。,U 其他
1560 中砂,2017/11/14,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
1560 中砂,2017/11/14,01A01,1.智慧財產法院一審判決確認本公司就44件登記於宋健民名下之專利有實施權，,7 訴訟案件
1560 中砂,2017/11/14,01A02,宋健民應移轉登記其中33件專利予本公司，本公司並得就該33件專利為假執行,7 訴訟案件
1560 中砂,2017/11/14,01A03,2.判決結果證明本公司有權實施與宋健民間合作案 (已於102/10/28屆期終止)所,7 訴訟案件
1560 中砂,2017/11/14,01A04,生專利，得使用相關專利技術製造並銷售產品。本公司已委請國際通商法律事,7 訴訟案件
1560 中砂,2017/11/14,01A05,務所就本公司敗訴部分提起上訴。,7 訴訟案件
6505 台塑化,2017/11/14,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
6505 台塑化,2017/11/14,01A01,1.本公司違反「廢棄物清理法」第28條並依同法第52條之規定裁處約166萬,9 環保與安全
6505 台塑化,2017/11/14,01A02,2.102/1/24台南環保局稽查認定麻豆官輝土資場及左鎮宏昇土資場路基改良使用,9 環保與安全
6505 台塑化,2017/11/14,01A03,之本公司副產石灰產品為廢棄物(當時為雲林縣政府合法產品登記期間)，並於,9 環保與安全
6505 台塑化,2017/11/14,01A04,103/3/24裁處罰鍰及限期改善，全案目前進行行政訴訟救濟中。,9 環保與安全
6505 台塑化,2017/11/14,01A05,3.本次台南環保局依新修正之廢棄物清理法，將未完成限期改善者改為按次罰，,9 環保與安全
6505 台塑化,2017/11/14,01A06,"針對本案再開立罰單裁處166萬2,000元(裁處期間為106/1/23至10/26)。",9 環保與安全
